firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,season,kde_density
Anthony,Davis,203076,22300932,2024-03-10 21:30:00,Los Angeles,Lakers,Minnesota,Timberwolves,Regular Season,,,,1.0,1,39.0,27.0,5.0,3.0,7.0,17.0,9.0,0.529,0.0,0.0,0.0,13.0,9.0,0.692,15.0,10.0,25.0,2.0,3.0,15.0,2023-24,3.2441050792714676e-06
Victor,Wembanyama,1641705,22300764,2024-02-12 19:30:00,San Antonio,Spurs,Toronto,Raptors,Regular Season,,,,1.0,0,28.0,27.0,5.0,10.0,2.0,14.0,10.0,0.714,4.0,2.0,0.5,6.0,5.0,0.833,12.0,2.0,14.0,2.0,7.0,20.0,2023-24,3.2441050792714676e-06
Nikola,Jokic,203999,22300502,2024-01-07 20:00:00,Denver,Nuggets,Detroit,Pistons,Regular Season,,,,1.0,1,24.0,4.0,16.0,5.0,0.0,3.0,2.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,4.0,2.0,16.0,2023-24,3.2441050792714676e-06
Luka,Doncic,1629029,22300405,2023-12-25 22:30:00,Dallas,Mavericks,Phoenix,Suns,Regular Season,,,,1.0,0,43.0,50.0,15.0,3.0,4.0,25.0,15.0,0.6,16.0,8.0,0.5,12.0,12.0,1.0,5.0,1.0,6.0,2.0,4.0,16.0,2023-24,3.2441050792714676e-06
Giannis,Antetokounmpo,203507,22300315,2023-12-13 20:00:00,Milwaukee,Bucks,Indiana,Pacers,Regular Season,,,,1.0,1,37.0,64.0,3.0,1.0,4.0,28.0,20.0,0.714,3.0,0.0,0.0,32.0,24.0,0.75,11.0,3.0,14.0,1.0,4.0,29.0,2023-24,3.2441050792714676e-06
Brook,Lopez,201572,22300002,2023-11-03 19:30:00,Milwaukee,Bucks,New York,Knicks,NBA Emirates Cup,Emirates NBA Cup,,,1.0,1,35.0,13.0,0.0,9.0,1.0,15.0,4.0,0.267,10.0,4.0,0.4,2.0,1.0,0.5,5.0,0.0,5.0,2.0,1.0,1.0,2023-24,3.2441050792714676e-06
Daniel,Gafford,1629655,22300381,2023-12-21 22:00:00,Washington,Wizards,Portland,Trail Blazers,Regular Season,,,,1.0,0,31.0,16.0,0.0,6.0,4.0,10.0,7.0,0.7,0.0,0.0,0.0,3.0,2.0,0.667,5.0,3.0,8.0,6.0,1.0,9.0,2023-24,3.2441050792714735e-06
Andre,Drummond,203083,22300408,2023-12-26 20:00:00,Chicago,Bulls,Atlanta,Hawks,Regular Season,,,,1.0,1,38.0,24.0,1.0,2.0,3.0,13.0,11.0,0.846,0.0,0.0,0.0,2.0,2.0,1.0,15.0,10.0,25.0,4.0,2.0,4.0,2023-24,3.244105079271479e-06
Nikola,Jokic,203999,22300937,2024-03-11 21:00:00,Denver,Nuggets,Toronto,Raptors,Regular Season,,,,1.0,1,38.0,35.0,12.0,2.0,6.0,26.0,14.0,0.538,3.0,1.0,0.333,6.0,6.0,1.0,11.0,6.0,17.0,3.0,2.0,13.0,2023-24,3.244105079271508e-06
Jusuf,Nurkic,203994,22300878,2024-03-03 21:30:00,Phoenix,Suns,Oklahoma City,Thunder,Regular Season,,,,0.0,1,32.0,14.0,4.0,1.0,0.0,16.0,7.0,0.438,2.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,31.0,3.0,5.0,10.0,2023-24,3.2441050792715197e-06
Victor,Wembanyama,1641705,22300252,2023-11-26 20:00:00,San Antonio,Spurs,Denver,Nuggets,Regular Season,,,,0.0,0,24.0,22.0,2.0,4.0,6.0,17.0,7.0,0.412,5.0,2.0,0.4,7.0,6.0,0.857,7.0,4.0,11.0,4.0,3.0,-10.0,2023-24,3.244105079271992e-06
Scottie,Barnes,1630567,22300829,2024-02-26 19:00:00,Toronto,Raptors,Indiana,Pacers,Regular Season,,,,1.0,0,37.0,21.0,12.0,5.0,0.0,18.0,8.0,0.444,3.0,0.0,0.0,5.0,5.0,1.0,9.0,3.0,12.0,1.0,3.0,-4.0,2023-24,3.2441050792727182e-06
Victor,Wembanyama,1641705,22300813,2024-02-23 22:30:00,San Antonio,Spurs,Los Angeles,Lakers,Regular Season,,,,0.0,0,30.0,27.0,8.0,5.0,5.0,16.0,7.0,0.438,8.0,3.0,0.375,11.0,10.0,0.909,9.0,1.0,10.0,3.0,2.0,0.0,2023-24,3.2441050792811145e-06
Matisse,Thybulle,1629680,22300826,2024-02-25 21:00:00,Portland,Trail Blazers,Charlotte,Hornets,Regular Season,,,,0.0,1,30.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,-13.0,2023-24,3.244105079301716e-06
Joel,Embiid,203954,22300608,2024-01-22 19:00:00,Philadelphia,76ers,San Antonio,Spurs,Regular Season,,,,1.0,1,36.0,70.0,5.0,1.0,1.0,41.0,24.0,0.585,2.0,1.0,0.5,23.0,21.0,0.913,9.0,9.0,18.0,2.0,1.0,11.0,2023-24,3.2441050794538164e-06
Victor,Wembanyama,1641705,22301099,2024-04-02 21:00:00,San Antonio,Spurs,Denver,Nuggets,Regular Season,,,,0.0,0,33.0,23.0,8.0,9.0,1.0,29.0,9.0,0.31,11.0,2.0,0.182,6.0,3.0,0.5,10.0,5.0,15.0,3.0,2.0,-9.0,2023-24,3.24410507952362e-06
Anthony,Davis,203076,22301045,2024-03-26 19:30:00,Los Angeles,Lakers,Milwaukee,Bucks,Regular Season,,,,1.0,0,51.0,34.0,2.0,4.0,2.0,31.0,12.0,0.387,8.0,3.0,0.375,7.0,7.0,1.0,16.0,7.0,23.0,1.0,4.0,2.0,2023-24,3.2441050803535564e-06
Victor,Wembanyama,1641705,22300427,2023-12-28 22:00:00,San Antonio,Spurs,Portland,Trail Blazers,Regular Season,,,,1.0,0,24.0,30.0,6.0,7.0,0.0,14.0,9.0,0.643,4.0,2.0,0.5,10.0,10.0,1.0,6.0,0.0,6.0,0.0,1.0,18.0,2023-24,3.2441050804858448e-06
Karl-Anthony,Towns,1626157,22300610,2024-01-22 20:00:00,Minnesota,Timberwolves,Charlotte,Hornets,Regular Season,,,,0.0,1,37.0,62.0,2.0,0.0,0.0,35.0,21.0,0.6,15.0,10.0,0.667,14.0,10.0,0.714,5.0,3.0,8.0,2.0,7.0,0.0,2023-24,3.2441050806823064e-06
Luka,Doncic,1629029,22300634,2024-01-26 19:00:00,Dallas,Mavericks,Atlanta,Hawks,Regular Season,,,,1.0,0,44.0,73.0,7.0,0.0,1.0,33.0,25.0,0.758,13.0,8.0,0.615,16.0,15.0,0.938,10.0,0.0,10.0,1.0,4.0,13.0,2023-24,3.2441050808061926e-06
Victor,Wembanyama,1641705,22301151,2024-04-09 20:00:00,San Antonio,Spurs,Memphis,Grizzlies,Regular Season,,,,1.0,0,30.0,18.0,6.0,7.0,0.0,19.0,9.0,0.474,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,1.0,1.0,15.0,2023-24,3.244105082268901e-06
Jusuf,Nurkic,203994,22301165,2024-04-10 22:30:00,Phoenix,Suns,Los Angeles,Clippers,Regular Season,,,,1.0,0,30.0,3.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.5,16.0,3.0,19.0,2.0,4.0,10.0,2023-24,3.2441050846195764e-06
Alperen,Sengun,1630578,22300891,2024-03-05 20:00:00,Houston,Rockets,San Antonio,Spurs,Regular Season,,,,1.0,1,36.0,45.0,3.0,1.0,5.0,32.0,19.0,0.594,3.0,2.0,0.667,7.0,5.0,0.714,10.0,6.0,16.0,3.0,2.0,18.0,2023-24,3.244105085741618e-06
Isaiah,Hartenstein,1628392,22300544,2024-01-13 20:00:00,New York,Knicks,Memphis,Grizzlies,Regular Season,,,,1.0,0,42.0,12.0,2.0,4.0,2.0,6.0,5.0,0.833,0.0,0.0,0.0,4.0,2.0,0.5,13.0,7.0,20.0,1.0,3.0,7.0,2023-24,3.2441050881540467e-06
Tyrese,Haliburton,1630169,22301016,2024-03-22 22:00:00,Indiana,Pacers,Golden State,Warriors,Regular Season,,,,1.0,0,37.0,26.0,11.0,3.0,4.0,18.0,9.0,0.5,8.0,4.0,0.5,5.0,4.0,0.8,2.0,0.0,2.0,0.0,1.0,25.0,2023-24,3.2441050917454923e-06
Anthony,Davis,203076,62300001,2023-12-09 20:30:00,Los Angeles,Lakers,Indiana,Pacers,NBA Cup,Emirates NBA Cup,,,1.0,1,40.0,41.0,5.0,4.0,0.0,24.0,16.0,0.667,0.0,0.0,0.0,13.0,9.0,0.692,15.0,5.0,20.0,2.0,4.0,13.0,2023-24,3.2441050927331653e-06
Anthony,Davis,203076,22300549,2024-01-13 21:30:00,Los Angeles,Lakers,Utah,Jazz,Regular Season,,,,0.0,0,39.0,15.0,11.0,4.0,1.0,21.0,5.0,0.238,1.0,0.0,0.0,6.0,5.0,0.833,13.0,2.0,15.0,1.0,6.0,-12.0,2023-24,3.2441050930419876e-06
Andre,Drummond,203083,22300846,2024-02-28 20:00:00,Chicago,Bulls,Cleveland,Cavaliers,Regular Season,,,,1.0,1,36.0,17.0,1.0,3.0,0.0,12.0,8.0,0.667,0.0,0.0,0.0,2.0,1.0,0.5,17.0,9.0,26.0,3.0,3.0,1.0,2023-24,3.244105094855828e-06
Matisse,Thybulle,1629680,22300741,2024-02-08 22:00:00,Portland,Trail Blazers,Detroit,Pistons,Regular Season,,,,0.0,1,38.0,2.0,7.0,2.0,5.0,6.0,1.0,0.167,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,4.0,2023-24,3.244105102672045e-06
Tyrese,Maxey,1630178,22300180,2023-11-12 18:00:00,Philadelphia,76ers,Indiana,Pacers,Regular Season,,,,1.0,1,39.0,50.0,5.0,3.0,0.0,32.0,20.0,0.625,11.0,7.0,0.636,3.0,3.0,1.0,4.0,3.0,7.0,2.0,2.0,17.0,2023-24,3.2441051041665172e-06
