firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,season,kde_density
Josh,Giddey,1630581,22401028,2025-03-22 22:30:00,Chicago,Bulls,Los Angeles,Lakers,Regular Season,,,0.0,1.0,0,33.11,15.0,17.0,0.0,8.0,11.0,5.0,0.455,2.0,1.0,0.5,6.0,4.0,0.667,7.0,3.0,10.0,3.0,2.0,22.0,2024-25,3.30476338200549e-06
Walker,Kessler,1631117,22400905,2025-03-07 19:30:00,Utah,Jazz,Toronto,Raptors,Regular Season,,,0.0,0.0,0,33.12,18.0,0.0,8.0,0.0,11.0,8.0,0.727,0.0,0.0,0.0,7.0,2.0,0.286,12.0,13.0,25.0,2.0,4.0,-18.0,2024-25,3.30476338200549e-06
Victor,Wembanyama,1641705,22400386,2024-12-21 20:30:00,San Antonio,Spurs,Portland,Trail Blazers,Regular Season,,,0.0,1.0,1,29.45,30.0,3.0,10.0,0.0,16.0,8.0,0.5,8.0,4.0,0.5,11.0,10.0,0.909,4.0,3.0,7.0,0.0,1.0,23.0,2024-25,3.30476338200549e-06
Nikola,Jokic,203999,22400909,2025-03-07 22:00:00,Denver,Nuggets,Phoenix,Suns,Regular Season,,,0.0,1.0,1,44.55,31.0,22.0,0.0,3.0,22.0,13.0,0.591,7.0,3.0,0.429,3.0,2.0,0.667,17.0,4.0,21.0,3.0,4.0,8.0,2024-25,3.3047633820070927e-06
Giannis,Antetokounmpo,203507,22401115,2025-04-03 19:00:00,Milwaukee,Bucks,Philadelphia,76ers,Regular Season,,,0.0,1.0,0,38.44,35.0,20.0,0.0,2.0,19.0,12.0,0.632,1.0,1.0,1.0,11.0,10.0,0.909,15.0,2.0,17.0,0.0,2.0,23.0,2024-25,3.3047633820075035e-06
Giannis,Antetokounmpo,203507,22400223,2024-11-13 20:00:00,Milwaukee,Bucks,Detroit,Pistons,Regular Season,,,0.0,1.0,1,43.37,59.0,7.0,3.0,2.0,34.0,21.0,0.618,2.0,1.0,0.5,17.0,16.0,0.941,11.0,3.0,14.0,1.0,3.0,7.0,2024-25,3.3047633820100103e-06
Trae,Young,1629027,22400287,2024-11-27 19:00:00,Atlanta,Hawks,Cleveland,Cavaliers,Regular Season,,,0.0,1.0,0,36.57,20.0,22.0,0.0,0.0,18.0,6.0,0.333,13.0,3.0,0.231,5.0,5.0,1.0,4.0,0.0,4.0,3.0,5.0,5.0,2024-25,3.304763382013685e-06
Kevin,Durant,201142,22400767,2025-02-11 22:00:00,Phoenix,Suns,Memphis,Grizzlies,Regular Season,,,0.0,0.0,1,42.48,34.0,3.0,5.0,1.0,18.0,12.0,0.667,4.0,3.0,0.75,10.0,7.0,0.7,3.0,0.0,3.0,3.0,1.0,2.0,2024-25,3.3047633820275337e-06
Dyson,Daniels,1630700,22400395,2024-12-23 19:30:00,Atlanta,Hawks,Minnesota,Timberwolves,Regular Season,,,0.0,1.0,1,34.03,10.0,4.0,2.0,8.0,10.0,4.0,0.4,2.0,1.0,0.5,2.0,1.0,0.5,4.0,0.0,4.0,1.0,2.0,16.0,2024-25,3.3047633820287255e-06
Trae,Young,1629027,22400506,2025-01-07 21:00:00,Atlanta,Hawks,Utah,Jazz,Regular Season,,,0.0,1.0,0,36.34,24.0,20.0,1.0,0.0,16.0,6.0,0.375,10.0,3.0,0.3,10.0,9.0,0.9,2.0,0.0,2.0,1.0,2.0,4.0,2024-25,3.3047633820324706e-06
